,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
411,NREM,30,03:57:30.000,03:58:00.000,1291,1292
412,NREM,30,03:58:00.000,03:58:30.000,1292,1293
413,NREM,30,03:59:00.000,03:59:30.000,1294,1295
414,NREM,30,03:59:30.000,04:00:00.000,1295,1296
415,NREM,30,04:00:00.000,04:00:30.000,1296,1297
416,NREM,30,04:00:30.000,04:01:00.000,1297,1298
417,NREM,30,04:01:00.000,04:01:30.000,1298,1299
418,NREM,30,04:01:30.000,04:02:00.000,1299,1300
419,NREM,30,04:02:00.000,04:02:30.000,1300,1301
420,NREM,30,04:02:30.000,04:03:00.000,1301,1302
421,NREM,30,04:03:00.000,04:03:30.000,1302,1303
422,NREM,30,04:03:30.000,04:04:00.000,1303,1304
423,NREM,30,04:04:00.000,04:04:30.000,1304,1305
424,NREM,30,04:04:30.000,04:05:00.000,1305,1306
425,NREM,30,04:05:00.000,04:05:30.000,1306,1307
426,NREM,30,04:05:30.000,04:06:00.000,1307,1308
427,NREM,30,04:06:00.000,04:06:30.000,1308,1309
428,NREM,30,04:06:30.000,04:07:00.000,1309,1310
429,NREM,30,04:07:30.000,04:08:00.000,1311,1312
430,REM,30,04:08:00.000,04:08:30.000,1312,1313
431,REM,30,04:08:30.000,04:09:00.000,1313,1314
432,REM,30,04:09:00.000,04:09:30.000,1314,1315
433,REM,30,04:09:30.000,04:10:00.000,1315,1316
434,NREM,30,04:10:30.000,04:11:00.000,1317,1318
435,NREM,30,04:11:00.000,04:11:30.000,1318,1319
436,REM,30,04:11:30.000,04:12:00.000,1319,1320
437,REM,30,04:12:00.000,04:12:30.000,1320,1321
438,REM,30,04:12:30.000,04:13:00.000,1321,1322
439,REM,30,04:13:00.000,04:13:30.000,1322,1323
440,REM,30,04:13:30.000,04:14:00.000,1323,1324
441,REM,30,04:14:00.000,04:14:30.000,1324,1325
442,REM,30,04:14:30.000,04:15:00.000,1325,1326
443,REM,30,04:15:00.000,04:15:30.000,1326,1327
444,REM,30,04:15:30.000,04:16:00.000,1327,1328
445,REM,30,04:16:00.000,04:16:30.000,1328,1329
446,REM,30,04:16:30.000,04:17:00.000,1329,1330
447,REM,30,04:17:00.000,04:17:30.000,1330,1331
448,REM,30,04:17:30.000,04:18:00.000,1331,1332
449,REM,30,04:18:00.000,04:18:30.000,1332,1333
450,REM,30,04:18:30.000,04:19:00.000,1333,1334
451,REM,30,04:19:00.000,04:19:30.000,1334,1335
452,REM,30,04:19:30.000,04:20:00.000,1335,1336
453,REM,30,04:20:00.000,04:20:30.000,1336,1337
454,REM,30,04:20:30.000,04:21:00.000,1337,1338
455,REM,30,04:21:00.000,04:21:30.000,1338,1339
456,REM,30,04:21:30.000,04:22:00.000,1339,1340
457,REM,30,04:22:00.000,04:22:30.000,1340,1341
458,REM,30,04:22:30.000,04:23:00.000,1341,1342
459,REM,30,04:23:00.000,04:23:30.000,1342,1343
460,REM,30,04:23:30.000,04:24:00.000,1343,1344
461,REM,30,04:24:00.000,04:24:30.000,1344,1345
462,REM,30,04:24:30.000,04:25:00.000,1345,1346
463,REM,30,04:25:00.000,04:25:30.000,1346,1347
464,REM,30,04:25:30.000,04:26:00.000,1347,1348
465,REM,30,04:26:00.000,04:26:30.000,1348,1349
466,REM,30,04:26:30.000,04:27:00.000,1349,1350
467,REM,30,04:27:00.000,04:27:30.000,1350,1351
468,REM,30,04:27:30.000,04:28:00.000,1351,1352
469,REM,30,04:28:00.000,04:28:30.000,1352,1353
470,REM,30,04:28:30.000,04:29:00.000,1353,1354
471,REM,30,04:29:00.000,04:29:30.000,1354,1355
