,Event,Duration,Start Time,End Time,Start Epoch,End Epoch,Unnamed: 6
378,N3,30.0,12:00.0,12:30.0,1200,1201,
379,N3,30.0,12:30.0,13:00.0,1201,1202,
380,N3,30.0,13:00.0,13:30.0,1202,1203,
381,N3,30.0,13:30.0,14:00.0,1203,1204,
382,N3,30.0,14:00.0,14:30.0,1204,1205,
383,N3,30.0,14:30.0,15:00.0,1205,1206,
384,N3,30.0,15:00.0,15:30.0,1206,1207,
385,N3,30.0,15:30.0,16:00.0,1207,1208,
386,N3,30.0,16:00.0,16:30.0,1208,1209,
387,N3,30.0,16:30.0,17:00.0,1209,1210,
388,N3,30.0,17:00.0,17:30.0,1210,1211,
389,N3,30.0,17:30.0,18:00.0,1211,1212,
390,N3,30.0,18:00.0,18:30.0,1212,1213,
391,N3,30.0,18:30.0,19:00.0,1213,1214,
392,N3,30.0,19:00.0,19:30.0,1214,1215,
393,N3,30.0,19:30.0,20:00.0,1215,1216,
394,N3,30.0,20:00.0,20:30.0,1216,1217,
395,N3,30.0,20:30.0,21:00.0,1217,1218,
396,N3,30.0,21:00.0,21:30.0,1218,1219,
397,N3,30.0,21:30.0,22:00.0,1219,1220,
398,N3,30.0,22:00.0,22:30.0,1220,1221,
399,N3,30.0,22:30.0,23:00.0,1221,1222,
400,N3,30.0,23:00.0,23:30.0,1222,1223,
401,N3,30.0,23:30.0,24:00.0,1223,1224,
402,N3,30.0,24:00.0,24:30.0,1224,1225,
403,N3,30.0,24:30.0,25:00.0,1225,1226,
404,N3,30.0,25:00.0,25:30.0,1226,1227,
405,N3,30.0,25:30.0,26:00.0,1227,1228,
406,N3,30.0,26:00.0,26:30.0,1228,1229,
407,N3,30.0,26:30.0,27:00.0,1229,1230,
408,N3,30.0,27:00.0,27:30.0,1230,1231,
409,N3,30.0,27:30.0,28:00.0,1231,1232,
410,N3,30.0,28:00.0,28:30.0,1232,1233,
411,N3,30.0,28:30.0,29:00.0,1233,1234,
412,N3,30.0,29:00.0,29:30.0,1234,1235,
413,N3,30.0,29:30.0,30:00.0,1235,1236,
414,N3,30.0,30:00.0,30:30.0,1236,1237,
415,N3,30.0,30:30.0,31:00.0,1237,1238,
416,N3,30.0,31:00.0,31:30.0,1238,1239,
417,N3,30.0,31:30.0,32:00.0,1239,1240,
418,N3,30.0,32:00.0,32:30.0,1240,1241,
419,N3,30.0,32:30.0,33:00.0,1241,1242,
420,N3,30.0,33:00.0,33:30.0,1242,1243,
421,N3,30.0,33:30.0,34:00.0,1243,1244,
422,N3,30.0,34:00.0,34:30.0,1244,1245,
423,N3,30.0,34:30.0,35:00.0,1245,1246,
424,N3,30.0,35:00.0,35:30.0,1246,1247,
425,N3,30.0,35:30.0,36:00.0,1247,1248,
426,N3,30.0,36:00.0,36:30.0,1248,1249,
427,N3,30.0,36:30.0,37:00.0,1249,1250,
428,N3,30.0,37:00.0,37:30.0,1250,1251,
429,N3,30.0,37:30.0,38:00.0,1251,1252,
430,N3,30.0,38:00.0,38:30.0,1252,1253,
431,N3,30.0,38:30.0,39:00.0,1253,1254,
432,N3,30.0,39:00.0,39:30.0,1254,1255,
433,N3,30.0,39:30.0,40:00.0,1255,1256,
434,N3,30.0,40:00.0,40:30.0,1256,1257,
435,N3,30.0,40:30.0,41:00.0,1257,1258,
436,N3,30.0,41:00.0,41:30.0,1258,1259,
437,N3,30.0,41:30.0,42:00.0,1259,1260,
438,N3,30.0,42:00.0,42:30.0,1260,1261,
439,N3,30.0,42:30.0,43:00.0,1261,1262,
440,N3,30.0,43:00.0,43:30.0,1262,1263,
441,N3,30.0,43:30.0,44:00.0,1263,1264,
442,N3,30.0,44:00.0,44:30.0,1264,1265,
443,N3,30.0,44:30.0,45:00.0,1265,1266,
444,N3,30.0,45:00.0,45:30.0,1266,1267,
445,N3,30.0,45:30.0,46:00.0,1267,1268,
446,N3,30.0,46:00.0,46:30.0,1268,1269,
447,N3,30.0,46:30.0,47:00.0,1269,1270,
448,N3,30.0,47:00.0,47:30.0,1270,1271,
449,N3,30.0,47:30.0,48:00.0,1271,1272,
450,N3,30.0,48:00.0,48:30.0,1272,1273,
451,N3,30.0,48:30.0,49:00.0,1273,1274,
452,N3,30.0,49:00.0,49:30.0,1274,1275,
453,N3,30.0,49:30.0,50:00.0,1275,1276,
454,N3,30.0,50:00.0,50:30.0,1276,1277,
455,N3,30.0,50:30.0,51:00.0,1277,1278,
456,N3,30.0,51:00.0,51:30.0,1278,1279,
457,N3,30.0,51:30.0,52:00.0,1279,1280,
458,N3,30.0,52:00.0,52:30.0,1280,1281,
459,N3,30.0,52:30.0,53:00.0,1281,1282,
460,N3,30.0,53:00.0,53:30.0,1282,1283,
461,N3,30.0,53:30.0,54:00.0,1283,1284,
462,N3,30.0,54:00.0,54:30.0,1284,1285,
463,N3,30.0,54:30.0,55:00.0,1285,1286,
464,N3,30.0,55:00.0,55:30.0,1286,1287,
465,N3,30.0,55:30.0,56:00.0,1287,1288,
466,N3,30.0,56:00.0,56:30.0,1288,1289,
467,N3,30.0,56:30.0,57:00.0,1289,1290,
468,N3,30.0,57:00.0,57:30.0,1290,1291,
469,N3,30.0,57:30.0,58:00.0,1291,1292,
470,N3,30.0,58:00.0,58:30.0,1292,1293,
471,Wake,30.0,58:30.0,59:00.0,1293,1294,
472,N3,30.0,59:00.0,59:30.0,1294,1295,
473,N3,30.0,59:30.0,00:00.0,1295,1296,
474,N3,30.0,00:00.0,00:30.0,1296,1297,
475,N3,30.0,00:30.0,01:00.0,1297,1298,
476,N3,30.0,01:00.0,01:30.0,1298,1299,
477,N3,30.0,01:30.0,02:00.0,1299,1300,
478,N3,30.0,02:00.0,02:30.0,1300,1301,
