Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
N3,30,35:30.0,36:00.0,1007,1008,
Snore Train,14.55,35:32.9,35:47.4,1007,1007,
LM,1.29,35:45.2,35:46.5,1007,1007,
LM,1.355,35:45.3,35:46.7,1007,1007,
Movement,1.5,35:46.0,35:47.5,1007,1007,
N3,30,36:00.0,36:30.0,1008,1009,
Desat,13.333,36:09.1,36:22.5,1008,1008,
N1,30,36:30.0,37:00.0,1009,1010,
Movement,63.096,36:33.5,37:36.6,1009,1011,
LM,3.363,36:35.5,36:38.9,1009,1009,
N2,30,37:00.0,37:30.0,1010,1011,
Desat,23.333,37:16.1,37:39.5,1010,1011,
N2,30,37:30.0,38:00.0,1011,1012,
LM,1.853,37:32.8,37:34.7,1011,1011,
N2,30,38:00.0,38:30.0,1012,1013,
N2,30,38:30.0,39:00.0,1013,1014,
N2,30,39:00.0,39:30.0,1014,1015,
N2,30,39:30.0,40:00.0,1015,1016,
N3,30,40:00.0,40:30.0,1016,1017,
N3,30,40:30.0,41:00.0,1017,1018,
N3,30,41:00.0,41:30.0,1018,1019,
N3,30,41:30.0,42:00.0,1019,1020,
N3,30,42:00.0,42:30.0,1020,1021,
N3,30,42:30.0,43:00.0,1021,1022,
N3,30,43:00.0,43:30.0,1022,1023,
Movement,6.599,43:01.7,43:08.3,1022,1022,
LM,5.421,43:02.1,43:07.6,1022,1022,
N2,30,43:30.0,44:00.0,1023,1024,
N2,30,44:00.0,44:30.0,1024,1025,
N2,30,44:30.0,45:00.0,1025,1026,
N2,30,45:00.0,45:30.0,1026,1027,
N3,30,45:30.0,46:00.0,1027,1028,
N2,30,46:00.0,46:30.0,1028,1029,
N2,30,46:30.0,47:00.0,1029,1030,
Movement,3.75,46:45.3,46:49.1,1029,1029,
LM,2.265,46:47.5,46:49.8,1029,1029,
N2,30,47:00.0,47:30.0,1030,1031,
N3,30,47:30.0,48:00.0,1031,1032,
N3,30,48:00.0,48:30.0,1032,1033,
N3,30,48:30.0,49:00.0,1033,1034,
N3,30,49:00.0,49:30.0,1034,1035,
N3,30,49:30.0,50:00.0,1035,1036,
N3,30,50:00.0,50:30.0,1036,1037,
N3,30,50:30.0,51:00.0,1037,1038,
N3,30,51:00.0,51:30.0,1038,1039,
